Line name,% GerminationNAMoccasinNA2016,Tendril Length 2016,Avg branch number 2016,AVG length moc 2016,%lodging 2016,Mat timeNA MoccasinNA2016,white flow moc 2016 checked,afila 2016 moc checked,Main stem diam avg 2016,avg branch diam 2016,avg root diam 2016
,,,,27.88888889,40.78707259,,,,2.603,,2.027
,,,,29.16666667,7.018245991,,,,2.106666667,,2.183333333
,,,,49.5,58.13668242,,,,1.79625,,1.95125
,,,,,,,,,,,
,,,,31.33333333,10.25641026,,,,2.233333333,,1.965
,,,,37.25,17.83397562,,,,1.779090909,,2.07
,,,,56.5,,,,,,,
,,,,46.33333333,38.87554687,,,,2.187,,2.0375
,,,,59.5,43.42575658,,,,1.766,,1.893333333
,,,,51.33333333,55.13972358,,,,1.978888889,,1.990909091
,,,,25.16666667,35.62286964,,,,2.488,,2.611
,,,,38.55555556,33.59558849,,,,2.218888889,,2.285454545
,,,,24.38888889,26.61290323,,,,2.46,,1.705
,,,,29.16666667,11.19342234,,,,2.05,,1.545714286
,,,,52.5,57.11184875,,,,2.088,,2.072222222
,,,,53.16666667,48.22786795,,,,2.244,,1.738181818
,,,,27.88888889,26.7137923,,,,2.164545455,,1.776083333
,,,,50.58333333,44.99356626,,,,2.276363636,,2.143636364
,,,,26.72222222,28.57750437,,,,2.191428571,,1.775714286
,,,,31.83333333,28.98505207,,,,2.623333333,,2.248
,,,,33.94444444,40.5085111,,,,2.738571429,,2.14125
,,,,59.33333333,30.64908694,,,,1.838,,2.007272727
,,,,55.5,44.55883678,,,,1.81,,1.669166667
,,,,29.5,23.58200707,,,,2.275555556,,1.77625
,,,,34.5,6.343861899,,,,2.22,,2.012857143
,,,,14.75,33.63090363,,,,2.035,,1.598
,,,,54,41.95439045,,,,2.183,,1.935833333
,,,,29.16666667,18.21664009,,,,1.908,,1.639090909
,,,,35.38888889,8.408679928,,,,2.642857143,,2.3675
,,,,NA,20.92608541,,,,2.106,,2.504444444
,,,,35.94444444,13.45473251,,,,2.029,,1.933
,,,,66,33.63979443,,,,2.21,,2.232727273
,,,,32.38888889,52.50863369,,,,2.16,,1.77
,,,,26.88888889,37.72822565,,,,2.345714286,,2.06
,,,,55.66666667,43.13182915,,,,1.95125,,2.269090909
,,,,26.38888889,29.34612651,,,,2.47375,,1.838571429
,,,,27,30.5316092,,,,2.71,,2.125454545
,,,,52.83333333,52.16640014,,,,1.9325,,1.643583333
,,,,54.16666667,58.8652892,,,,2.17,,1.868
,,,,61.44444444,51.57963963,,,,2.261111111,,1.887
,,,,60.58333333,53.51298247,,,,1.871,,1.801818182
,,,,62.83333333,57.66598754,,,,2.052727273,,1.83
,,,,23.33333333,29.45435366,,,,2.399166667,,2.109166667
,,,,41.16666667,2.626273571,,,,2.399,,1.9075
,,,,33,8.047518734,,,,2.202727273,,1.943636364
,,,,58.16666667,49.36129941,,,,2.11625,,2.03625
,,,,26.44444444,11.99226699,,,,2.003333333,,1.685
,,,,29.27777778,30.20389076,,,,2.103333333,,1.681111111
,,,,54.61111111,19.18786693,,,,1.63125,,1.86875
,,,,27.83333333,19.00886382,,,,2.239090909,,2.274545455
,,,,53.33333333,51.0708729,,,,1.822727273,,1.665454545
,,,,70.77777778,30.74688406,,,,1.984166667,,2.099166667
,,,,37.5,55.70767692,,,,2.18,,1.925
,,,,29.94444444,22.47167726,,,,2.166,,1.985555556
,,,,58.05555556,52.50004876,,,,1.867777778,,1.639
,,,,53.16666667,53.88083499,,,,1.998571429,,1.727142857
,,,,16.38888889,41.4299638,,,,2.426666667,,2.052727273
,,,,27.25,15.36424667,,,,2.045833333,,2.2325
,,,,57.83333333,22.12095921,,,,2.170909091,,2.760909091
,,,,19.5,42.13164049,,,,2.442,,2.08
,,,,20.61111111,30.75535853,,,,2.43,,1.912727273
,,,,45.66666667,40.96405229,,,,2.286666667,,2.393
,,,,34.75,3.947368421,,,,2.114166667,,2.140833333
,,,,62.33333333,50.78358606,,,,1.764444444,,1.973636364
,,,,26.5,24.65309201,,,,2.17,,1.696666667
,,,,49,28.98793871,,,,1.739166667,,2.0025
,,,,29.16666667,10.9079517,,,,2.3025,,2.592727273
,,,,57.25,29.37646002,,,,1.970833333,,1.861666667
,,,,28.83333333,17.05874572,,,,2.653,,1.802
,,,,35.91666667,22.50330688,,,,2.181666667,,2.043333333
,,,,34.5,20.68923503,,,,2.56,,2.260909091
,,,,33.75,13.30905269,,,,2.508888889,,2.562
,,,,51.05555556,55.25614969,,,,2.299,,2.239
,,,,30.38888889,38.18341033,,,,2.426,,1.699090909
,,,,38,53.66260003,,,,2.117777778,,1.795
,,,,59.16666667,35.12709513,,,,1.866363636,,2.1725
,,,,NA,41.61324786,,,,1.95,,1.90375
,,,,25.5,7.668128655,,,,1.93,,1.8275
,,,,63.5,47.97619048,,,,1.956363636,,2.43
